materia,anio
Introducción a la Ingeniería en Computación,1
Introducción a la Problemática del Mundo Contemporáneo,1
Algoritmos y Programación I,1
Algebra I,1
Matemática Discreta,1
Problemas de Historia del Siglo XX,1
Algoritmos y Programación II,1
Programación de Bajo Nivel,1
Algebra II,1
Diseño Lógico,1
Análisis Matemático I,2
Cuestiones de Sociología,2
Economía y Política,2
Estructura de Datos,2
Arquitecturas de Computadoras I,2
Inglés Básico,2
Asignatura Optativa de Tecnicatura,2
Análisis Matemático II,2
Cultura Contemporánea,2
Sistemas Operativos,2
Inglés Técnico,2
Taller de Lectoescritura,2
Ingeniería de Software,3
Física I,3
Comunicación de Datos,3
Base de Datos,3
Asignatura Optativa de Ingeniería,3
Física II,3
Redes de Computadoras,3
Diseño y Arquitectura de Sistemas de Computación,3
Probabilidad y Estadística,3
Trayecto Formativo Alternativo,4
Matemáticas Especiales,4
Dispositivos Electrónicos,4
Algebra III,4
Ingeniería de Calidad,4
Trayecto Formativo Alternativo,4
Asignatura Electiva,4
Laboratorio de Electrónica,4
Construcción de Sistemas de Computación,4
Procesamiento de Señales,4
Metodología de la Investigación,4
Trayecto Formativo Alternativo,5
Asignatura Electiva,5
Sistemas Embebidos,5
Sistemas Ciberfísicos,5
Control Automático,5
Ética y Legislación,5
Higiene y Seguridad,5
Práctica Profesional Supervisada,5
Trabajo Final Integrador,5
Algebra II,1
Fisica IV,4
ALGEBRA 9,1
pruebita,2
